종목명(코드),현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
종목별 (),현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
삼성전자 (005930),"62,200",▼ 400,-0.64%,"5,905,867","366,891","3,682,015"
SK하이닉스 (000660),"298,750","▲ 4,250",+1.44%,"1,607,248","480,212","2,174,907"
삼성바이오로직스 (207940),"1,046,000","▼ 11,000",-1.04%,"24,579","25,680","744,480"
LG에너지솔루션 (373220),"314,500","▼ 7,000",-2.18%,"100,336","31,731","735,930"
KB금융 (105560),"118,500","▲ 1,200",+1.02%,"398,968","47,247","452,033"
현대차 (005380),"214,000","▲ 6,000",+2.88%,"429,234","91,321","438,182"
기아 (000270),"102,200","▲ 1,400",+1.39%,"506,823","51,358","406,421"
셀트리온 (068270),"175,100","▼ 3,500",-1.96%,"156,290","27,541","389,468"
NAVER (035420),"245,750","▼ 7,250",-2.87%,"676,022","168,078","389,359"
두산에너빌리티 (034020),"59,850",▼ 650,-1.07%,"4,127,308","251,427","383,376"
